"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.2013.26.June",2013-06-26,5863,5713,4752,NA,3306,7487,693,6881,NA,6317,2531,668,4443,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.27.June",2013-06-27,5592,5075,4366,NA,2708,6827,109,6352,NA,5571,1967,50,3922,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.28.June",2013-06-28,5460,4722,4382,NA,2543,6425,234,5870,NA,4996,1632,7391,4201,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.29.June",2013-06-29,5460,4276,4105,NA,2637,6244,546,5416,NA,4363,1187,6936,4248,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.30.June",2013-06-30,5329,3978,4050,NA,2234,6020,7730,6106,NA,4028,988,6765,3759,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.1.June",2014-06-01,4391,5051,4026,NA,1864,6060,6763,7261,NA,3753,3103,1051,2338,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.2.June",2014-06-02,4453,4619,3935,NA,1556,5610,6510,6697,NA,3296,2379,557,2125,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.3.June",2014-06-03,4319,4385,4085,NA,1326,5277,6359,6250,NA,2948,2132,162,2121,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.4.June",2014-06-04,3958,4169,3962,NA,1333,5124,6468,5909,NA,2736,1660,7757,2021,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.5.June",2014-06-05,3864,3785,3804,NA,1183,4919,6348,5498,NA,2429,1125,7382,1806,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.6.June",2014-06-06,3788,3462,3684,NA,843,4621,6024,5167,NA,1818,723,7052,1596,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.7.June",2014-06-07,3753,3148,3629,NA,569,4350,5777,4925,NA,1399,370,6743,1440,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.8.June",2014-06-08,3694,2929,3559,NA,377,4113,5616,4733,NA,1035,1054,6579,1339,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.9.June",2014-06-09,3800,2834,3589,NA,237,3988,5475,4732,NA,1469,558,6428,1275,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.10.June",2014-06-10,3947,288,1559,NA,1015,5205,6728,1871,NA,6639,91,932,4985,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.11.June",2014-06-11,6999,2215,2730,NA,487,3039,80,4283,NA,964,7402,4370,3678,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.12.June",2014-06-12,799,1611,1659,NA,3107,4292,1919,4288,NA,10,6620,3431,3964,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.13.June",2014-06-13,6922,501,290,NA,784,2744,7141,2539,NA,7002,4776,2252,2013,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.14.June",2014-06-14,5818,7426,6444,NA,6742,1403,4982,3,NA,6095,3617,1396,7145,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.15.June",2014-06-15,5329,6741,5583,NA,5404,212,3634,1479,NA,5288,2709,741,5904,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.16.June",2014-06-16,5208,6200,5080,NA,4554,7193,2688,1379,NA,4727,2066,160,5144,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.17.June",2014-06-17,5083,6998,5206,NA,4093,6849,2168,1754,NA,4717,5023,646,4812,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.18.June",2014-06-18,5058,3624,3295,NA,4152,2112,2147,5521,NA,5050,4420,6680,5171,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.19.June",2014-06-19,5058,1962,1374,NA,4166,2226,1950,4068,NA,6459,7559,4990,5430,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.20.June",2014-06-20,4996,601,7019,NA,3892,798,1530,2622,NA,5413,5415,3116,4867,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.21.June",2014-06-21,5016,21,6219,NA,3348,7714,942,2882,NA,4928,5949,2326,4188,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.22.June",2014-06-22,4890,497,6543,NA,3324,495,895,3520,NA,4918,7305,3416,4291,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.23.June",2014-06-23,4788,7407,5684,NA,3076,3,573,2538,NA,4354,4745,2221,3865,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.24.June",2014-06-24,4528,6784,5239,NA,2677,6908,139,3,NA,4005,3790,1458,3488,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.25.June",2014-06-25,4453,6340,4974,NA,2445,6437,7699,1665,NA,3635,3179,907,2815,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.26.June",2014-06-26,4263,7172,6004,NA,2223,6917,7542,3087,NA,3947,6289,1951,1914,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.27.June",2014-06-27,4157,306,5974,NA,1997,7534,7300,4303,NA,4216,937,3329,1723,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.28.June",2014-06-28,4168,1244,5975,NA,2158,1312,7292,5884,NA,4228,319,4984,1737,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.29.June",2014-06-29,4028,7751,5258,NA,1922,7745,6997,3556,NA,3578,5461,3059,1194,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.30.June",2014-06-30,4453,416,5615,NA,1800,6992,6819,3050,NA,6551,7335,2505,1481,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.1.July",1990-07-01,5785,8123,2,NA,3427,1167,1549,3010,2,NA,5991,4268,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.2.July",1990-07-02,5686,7030,2,NA,4709,505,3245,1244,2,NA,4284,3028,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.3.July",1990-07-03,5640,6447,2,NA,4112,129,2303,671,2,NA,3485,2391,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.4.July",1990-07-04,5558,6249,2,NA,4303,425,2531,362,2,NA,3134,2336,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.5.July",1990-07-05,5502,5512,2,NA,3653,8188,1641,7808,2,NA,2274,1616,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.6.July",1990-07-06,5445,4965,2,NA,3161,7518,956,7304,2,NA,1693,1002,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.7.July",1990-07-07,5411,5082,2,NA,2940,7278,456,7749,2,NA,2244,791,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.8.July",1990-07-08,5366,5934,2,NA,3513,8038,1133,620,2,NA,4671,1866,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.9.July",1990-07-09,5640,848,2,NA,3927,1284,1082,3669,2,NA,8211,4036,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.10.July",1990-07-10,6267,1906,2,NA,4317,2243,1566,2182,2,NA,6607,5135,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.11.July",1990-07-11,5965,409,2,NA,4396,1355,1695,1067,2,NA,4990,3974,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.12.July",1990-07-12,5729,7378,2,NA,3742,280,964,109,2,NA,3764,2955,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.13.July",1990-07-13,6192,368,2,NA,4551,2048,1184,5024,2,NA,7432,4674,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.14.July",1990-07-14,5817,7346,2,NA,4170,1392,1010,2139,2,NA,4260,3593,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.15.July",1990-07-15,5634,6456,2,NA,3388,177,331,799,2,NA,3229,2618,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.16.July",1990-07-16,5587,6153,2,NA,2943,7746,8146,107,2,NA,5517,2031,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.17.July",1990-07-17,5558,6846,2,NA,3339,378,171,2356,2,NA,6489,3625,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.18.July",1990-07-18,5766,6839,2,NA,3866,8246,621,1216,2,NA,5396,2843,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.19.July",1990-07-19,6416,8223,2,NA,241,3319,6859,1195,2,NA,5189,3964,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.20.July",1990-07-20,5411,7127,2,NA,7154,2458,5105,183,2,NA,3829,2992,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.21.July",1990-07-21,5213,6358,2,NA,5447,1009,3264,7856,2,NA,3080,2279,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.22.July",1990-07-22,5171,3274,2,NA,4733,1765,2392,4017,2,NA,3875,6342,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.23.July",1990-07-23,5021,1824,2,NA,4212,2429,1767,4362,2,NA,7734,6031,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.24.July",1990-07-24,4891,20,2,NA,3595,788,1129,1471,2,NA,5352,3921,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.25.July",1990-07-25,4786,7205,2,NA,3086,8242,543,641,2,NA,4034,2998,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.26.July",1990-07-26,4714,6556,2,NA,2639,7738,90,266,2,NA,4239,2380,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.27.July",1990-07-27,4638,6770,2,NA,2385,7607,8005,359,2,NA,4374,2572,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.28.July",1990-07-28,4568,6453,2,NA,2322,7940,7848,2218,2,NA,5032,2934,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.29.July",1990-07-29,4601,7895,2,NA,3149,7730,3649,1060,2,NA,8168,2852,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.30.July",1990-07-30,4554,1225,2,NA,2018,3690,1756,3175,2,NA,7828,4533,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.31.July",1990-07-31,4515,7957,2,NA,1621,3457,1151,480,2,NA,4995,3276,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1991.1.July",1991-07-01,5036,5415,NA,2,3976,7845,1840,7210,NA,2,2511,594,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.2.July",1991-07-02,4795,5272,NA,2,4006,7471,2172,6791,NA,2,2801,282,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.3.July",1991-07-03,4561,4863,NA,2,3808,7309,1787,7055,NA,2,2019,221,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.4.July",1991-07-04,4348,4361,NA,2,3326,6835,1383,5882,NA,2,1645,7997,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.5.July",1991-07-05,4263,3893,NA,2,3174,6581,1205,5486,NA,2,1098,7668,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.6.July",1991-07-06,4223,3545,NA,2,2793,6274,740,4974,NA,2,716,7401,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.7.July",1991-07-07,4210,3212,NA,2,2520,5983,380,4641,NA,2,397,7141,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.8.July",1991-07-08,4095,2883,NA,2,2234,5759,54,4384,NA,2,98,6916,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.9.July",1991-07-09,4043,2728,NA,2,2106,5551,8118,4522,NA,2,1800,6762,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.10.July",1991-07-10,3949,2448,NA,2,2075,5578,8065,5383,NA,2,444,6876,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.11.July",1991-07-11,3873,2104,NA,2,1697,5210,7682,4463,NA,2,8140,6514,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.12.July",1991-07-12,3809,1895,NA,2,1461,4949,7453,3938,NA,2,7827,6283,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.13.July",1991-07-13,3736,1743,NA,2,1443,4820,7494,3565,NA,2,7625,6114,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.14.July",1991-07-14,3616,1522,NA,2,1292,4667,7303,3337,NA,2,7426,5936,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.15.July",1991-07-15,3496,1285,NA,2,1061,4487,7047,3158,NA,2,7232,5741,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.16.July",1991-07-16,3372,1118,NA,2,883,4354,6865,2938,NA,2,7050,5612,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.17.July",1991-07-17,3230,926,NA,2,726,4216,6698,2765,NA,2,6928,5485,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.18.July",1991-07-18,3185,3239,NA,2,1578,4640,434,4331,NA,2,4715,5660,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.19.July",1991-07-19,3042,5374,NA,2,3370,7100,1680,837,NA,2,4021,1094,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.20.July",1991-07-20,2900,3860,NA,2,3125,6833,1656,7176,NA,2,2044,8175,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.21.July",1991-07-21,2753,3683,NA,2,2623,6692,710,510,NA,2,7220,567,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.22.July",1991-07-22,2834,288,NA,2,2472,7288,261,4149,NA,2,2842,2758,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.23.July",1991-07-23,3507,3936,NA,2,3153,3923,8189,389,NA,2,3894,26,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.24.July",1991-07-24,3250,1649,NA,2,3113,2086,96,5240,NA,2,332,5334,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.25.July",1991-07-25,3646,4722,NA,2,5395,4391,1879,7446,NA,2,3884,7843,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.26.July",1991-07-26,4568,5713,NA,2,7425,5868,4130,7926,NA,2,2924,829,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.27.July",1991-07-27,4554,1546,NA,2,6150,3255,2847,3347,NA,2,6241,4994,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.28.July",1991-07-28,4692,8132,NA,2,5134,1457,1919,1869,NA,2,4580,3405,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.29.July",1991-07-29,4285,7032,NA,2,4200,372,1149,994,NA,2,4288,2527,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.30.July",1991-07-30,4576,3803,NA,2,3855,1757,847,5787,NA,2,4732,6418,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1991.31.July",1991-07-31,4483,4117,NA,2,3495,2737,514,6696,NA,2,2803,7469,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.1.July",1992-07-01,4453,2819,NA,2,2911,5755,696,4051,NA,2,7941,5944,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.2.July",1992-07-02,4402,2587,NA,2,2582,5426,303,4039,NA,2,7822,5679,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.3.July",1992-07-03,4483,418,NA,2,3129,7987,286,3768,NA,2,3280,5090,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.4.July",1992-07-04,4425,7534,NA,2,3062,8160,441,1794,NA,2,6319,4180,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.5.July",1992-07-05,4862,6730,NA,2,3041,7316,10,2525,NA,2,7408,2747,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.6.July",1992-07-06,5401,8070,NA,2,5772,1977,2958,5836,NA,2,1034,5304,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.7.July",1992-07-07,5021,8040,NA,2,5034,1475,1910,4261,NA,2,518,5022,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.8.July",1992-07-08,5850,4685,NA,2,5620,3403,2198,7146,NA,2,3364,7732,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.9.July",1992-07-09,6293,2495,NA,2,6931,4072,3914,4739,NA,2,86,6200,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.10.July",1992-07-10,5879,2502,NA,2,572,3755,7363,2201,NA,2,7447,5380,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.11.July",1992-07-11,5348,812,NA,2,7151,2774,4805,1101,NA,2,5312,4109,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.12.July",1992-07-12,5171,7955,NA,2,6110,1414,3956,334,NA,2,4196,3049,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.13.July",1992-07-13,5050,7075,NA,2,5351,602,3350,8071,NA,2,3550,2143,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.14.July",1992-07-14,5045,7052,NA,2,5169,119,3200,8228,NA,2,4644,1600,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.15.July",1992-07-15,5079,2991,NA,2,6345,2499,4373,3090,NA,2,1062,6034,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.16.July",1992-07-16,5156,3445,NA,2,7159,3769,5819,2746,NA,2,7936,5769,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.17.July",1992-07-17,5059,652,NA,2,5801,2254,3995,1137,NA,2,4882,3492,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.18.July",1992-07-18,5050,7593,NA,2,4817,741,3096,218,NA,2,3589,2061,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.19.July",1992-07-19,5008,6614,NA,2,4228,8122,2414,7722,NA,2,2540,518,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.20.July",1992-07-20,4899,5967,NA,2,3897,7497,1853,7377,NA,2,6211,7498,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.21.July",1992-07-21,4701,6511,NA,2,4543,7925,3235,219,NA,2,5473,2002,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.22.July",1992-07-22,6174,6716,NA,2,6545,6777,6185,6527,NA,2,5184,8124,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.23.July",1992-07-23,3417,5848,NA,2,7125,2521,5457,5717,NA,2,1536,1268,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.24.July",1992-07-24,7822,3019,NA,2,2,5257,8085,2851,NA,2,776,5648,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.25.July",1992-07-25,6115,1512,NA,2,2,3661,6525,1935,NA,2,5732,4784,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.26.July",1992-07-26,6645,3911,NA,2,2,3182,5552,2219,NA,2,2235,6287,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.27.July",1992-07-27,5839,2580,NA,2,2,3597,5637,1952,NA,2,7269,5930,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.28.July",1992-07-28,5430,797,NA,2,2,2312,4718,497,NA,2,7179,4422,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.29.July",1992-07-29,5333,8115,NA,2,2,1928,4400,657,NA,2,7976,4197,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.30.July",1992-07-30,5267,1848,NA,2,2,2363,3939,5613,NA,2,3312,5540,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1992.31.July",1992-07-31,5421,4344,NA,2,2,4297,4489,6376,NA,2,3619,8099,NA,2,NA,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.1.July",1993-07-01,3831,5491,2,NA,3110,7659,276,1051,NA,2,3389,1221,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.2.July",1993-07-02,3798,4848,2,NA,2642,7059,7916,460,NA,2,2667,679,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.3.July",1993-07-03,3774,4310,2,NA,2240,6623,7397,30,NA,2,2059,270,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.4.July",1993-07-04,3705,3892,2,NA,1916,6234,7032,7793,NA,2,1529,8134,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.5.July",1993-07-05,3662,3522,2,NA,1694,5961,6793,7435,NA,2,1036,7790,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.6.July",1993-07-06,3616,3218,2,NA,1545,5670,6538,7024,NA,2,1415,7480,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.7.July",1993-07-07,3646,3943,2,NA,2008,6088,7185,7798,NA,2,2714,7839,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.8.July",1993-07-08,3616,4127,2,NA,2395,6214,7939,7213,NA,2,1902,7849,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.9.July",1993-07-09,3603,3890,2,NA,2670,5981,743,6629,NA,2,1465,7524,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.10.July",1993-07-10,3537,3447,2,NA,2804,5920,538,6223,NA,2,680,7296,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.11.July",1993-07-11,3496,3114,2,NA,2402,5466,8176,5959,NA,2,292,6980,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.12.July",1993-07-12,3423,2787,2,NA,2030,5097,7658,5768,NA,2,8248,6804,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.13.July",1993-07-13,3359,2549,2,NA,1734,4764,7275,5482,NA,2,7969,6616,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.14.July",1993-07-14,3286,2324,2,NA,1498,4559,6961,5315,NA,2,7706,6438,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.15.July",1993-07-15,3220,2096,2,NA,1271,4451,6666,5520,NA,2,7467,6268,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.16.July",1993-07-16,3130,1852,2,NA,1014,4249,6330,5100,NA,2,7321,6071,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.17.July",1993-07-17,3006,1690,2,NA,755,4065,6101,4878,NA,2,7099,5899,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.18.July",1993-07-18,2818,1500,2,NA,490,3925,5814,4779,NA,2,6881,5782,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.19.July",1993-07-19,2753,1240,2,NA,228,3777,5452,4679,NA,2,6694,5629,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.20.July",1993-07-20,2657,1019,2,NA,8210,3644,5140,4540,NA,2,7079,5499,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.21.July",1993-07-21,2584,911,2,NA,8055,3632,4957,4647,NA,2,7079,5444,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.22.July",1993-07-22,2450,1954,2,NA,8228,5353,5100,2317,NA,2,6235,7347,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.23.July",1993-07-23,2357,1608,2,NA,8107,4832,4806,7393,NA,2,1139,6969,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.24.July",1993-07-24,2196,1170,2,NA,7929,7180,4528,5675,NA,2,404,481,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.25.July",1993-07-25,2091,1958,2,NA,8154,6488,5172,2659,NA,2,4518,128,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.26.July",1993-07-26,1967,1421,2,NA,8087,5123,4698,323,NA,2,2296,7057,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.27.July",1993-07-27,1890,923,2,NA,7715,4594,4250,7962,NA,2,1252,6394,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.28.July",1993-07-28,1803,765,2,NA,7571,4871,4064,1898,NA,2,3920,6220,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.29.July",1993-07-29,1722,793,2,NA,7439,4756,3941,778,NA,2,1997,6404,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.30.July",1993-07-30,1563,680,2,NA,7362,4187,3845,7490,NA,2,1086,5915,NA,NA,2,NA,2
"    Stage (mm) at Kumeti at Te Rehunga.1993.31.July",1993-07-31,1499,738,2,NA,7279,3919,3752,6976,NA,2,564,5725,NA,NA,2,NA,2
